xpath,2009v1.0,2009v1.1,2009v1.2,2009v1.3,2009v1.4,2009v1.7,2010v3.2,2010v3.4,2010v3.6,2010v3.7,2011v1.2,2011v1.3,2011v1.4,2011v1.5,2012v2.0,2012v2.1,2012v2.2,2012v2.3,2012v3.0,2013v3.0,2013v3.1,2013v4.0,2014v5.0,2014v6.0,2015v2.0,2015v2.1
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEES/ADJUSTEDNETINCOME,,,G 14,G 84,G 49,G 349,G 411,G 331,X 12,G 56,G 6276,G 54,,G 149,G 2267,G 3620,G 110,G 131,G 22,,,,,,,
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEES/AMOUNT,,,G 23,G 315,G 274,G 9,G 532,G 4491,X 62,X 6,G 1102,G 331,,G 1658,G 5891,G 18563,G 584,G 1022,G 42,,,,,,,
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEES/CATEGORY,,,G 23,X 2,X 2,G 1035,X 3,G 1325,X 58,G 299,G 69,G 346,,G 1569,G 5278,G 18306,G 584,G 1514,G 38,,,,,,,
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEESDETAIL/ADJUSTEDNETINCOMEAMT,,,,,,,,,,,,,,,,,,,,G 2499,G 6319,G 112,G 10056,G 144,G 5921,G 5318
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEESDETAIL/AMT,,,,,,,,,,,,,,,,,,,,X 9,G 14646,G 3520,G 31038,G 3988,G 9622,G 25020
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEESDETAIL/CATEGORYTXT,,,,,,,,,,,,,,,,,,,,G 11018,X 6,G 3371,G 30040,G 3846,G 8878,G 8545
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEESDETAIL/DISBURSEMENTSCHARITABLEPRPSAMT,,,,,,,,,,,,,,,,,,,,G 11249,G 9745,G 3068,G 25475,G 328,G 9324,G 19320
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEESDETAIL/NETINVESTMENTINCOMEAMT,,,,,,,,,,,,,,,,,,,,G 11247,G 9429,G 2887,G 6784,G 3258,G 6535,G 19689
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEES/DISBURSEMENTSCHARITABLEPRPS,,,G 16,X 1,G 267,G 932,X 4,G 1251,X 18,G 168,G 17721,G 200,,G 1400,G 2340,G 7059,G 245,G 467,G 36,,,,,,,
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/ACCOUNTINGFEES/NETINVESTMENTINCOME,,,G 16,G 177,G 258,G 9,G 9041,G 1245,X 22,X 3,G 49,G 6,,G 1436,G 5294,G 15373,G 112,G 741,G 37,,,,,,,
